Feature,Importance
digital_consistent_user,11.469953093655459
data_mb_l60d,4.087800695524154
total_spend_trend,3.3045584420481067
digital_events,3.1952625834404818
peers_with_digital,2.668737440119673
days_since_last_data,2.6148870196269254
age_band,2.4792729514380722
peers_with_crbt,2.3152533486130706
days_since_last_vas_txn,2.161673342469235
total_active_days,2.140045748729755
data_mb_l30d,2.099079132614693
data_mb,2.098751496165161
recharge_count,2.0215882113222308
digital_distinct_products,1.8657040774622702
data_volume_trend,1.8435907019153317
total_spend,1.7969707951587686
trad_events,1.7816787059174322
crbt_rev_l30d,1.740839973880057
digital_rev_l30d,1.6808823313934764
voice_calls_cnt_l30d,1.6760370634548685
data_spend,1.662715557511219
pct_peers_with_crbt,1.6619994238287663
vas_share_of_wallet,1.6181283517563072
smartphoneindicator,1.5275048141523329
recharge_count_l30d,1.3474319306284939
days_since_last_recharge,1.3397982461465971
distinct_vas_categories,1.3274161297054903
distinct_offers_used,1.3172119005877199
digital_active_months,1.2965555889939528
total_vas_rev_l60d,1.2498942540536726
age,1.2390697424206891
recharge_amt,1.1961602451964553
digital_distinct_vendors,1.1234744128536827
total_consistent_categories,1.0865563800991622
total_distinct_products_all,1.0800827265399138
distinct_menus_used,1.0761125584543616
digital_rev,1.065454500788095
total_spend_l60d,1.0419641877207335
total_vas_events,1.0184230346404275
avg_recharge_amt,1.0162754949173254
gender,1.0018500523636937
handsetcategory,0.9825333043316903
total_distinct_vendors,0.9800538213715774
region,0.9724082773539373
days_since_last_digital,0.8499875068470377
os_type,0.801630746911089
is_consistent_voice_user,0.7608083587915456
total_bundle_sub_events,0.7520267789032073
used_sms_menu,0.736395204758697
trad_active_months,0.7301909628486554
data_active_months,0.6899769031749368
crbt_rev,0.6860959531279257
tenure_months,0.6273766629570342
total_vas_rev,0.6241400547760126
peers_on_same_service,0.6008691952240691
crbt_active_months,0.6008281826007854
tenure_band,0.5901339048865598
handsetsegment,0.5870588255842223
total_spend_l30d,0.5518323027626909
age_days,0.5198593344620934
trad_rev,0.5110612450338374
trad_rev_l30d,0.451905492663589
vas_active_months,0.43520546538650384
voice_calls_cnt,0.4189292628047823
vas_category_diversity,0.3931114416048839
total_active_months,0.35907071742157504
data_spend_l30d,0.3478914374510183
ever_used_crbt,0.33779010575621465
pct_peers_with_any_vas,0.2820436839434608
district,0.27113457767971555
crbt_events,0.24883576422673512
days_since_last_trad,0.2405352283947853
used_crbt_menu,0.2237775457354807
trad_distinct_products,0.20370393631771055
digital_upsell_prospect,0.160874365340241
vas_revenue_trend,0.13327676025744295
is_heavy_data_user,0.0
crbt_consistent_user,0.0
ever_used_digital,0.0
days_since_last_crbt,0.0
total_vas_rev_l30d,0.0
is_micro_recharger,0.0
distinct_vas_products,0.0
crbt_distinct_products,0.0
used_digital_menu,0.0
is_sos_frequent,0.0
trad_consistent_user,0.0
ever_used_trad,0.0
crbt_peer_exposed,0.0
is_price_sensitive,0.0
extraction_date,0.0
CustomerSegment,0.0
